Polar Angle 	 Azimuth Angle 	 Intensity 
90.0	0.0	35598.4495
90.0	1.0	35276.8515
90.0	2.0	34985.4146
90.0	3.0000000000000004	34732.3417
90.0	4.0	34525.4065
90.0	5.0	34371.6466
90.0	6.000000000000001	34277.0631
90.0	7.0	34246.3396
90.0	8.0	34282.5923
90.0	9.0	34387.1641
90.0	10.0	34559.4708
90.0	11.0	34796.9093
90.0	12.0	35094.8315
90.0	13.0	35446.5895
90.0	14.0	35843.651
90.0	14.999999999999998	36275.7835
90.0	16.0	36731.3018
90.0	17.000000000000004	37197.3719
90.0	18.0	37660.3615
90.0	19.0	38106.2246
90.0	20.0	38520.9079
90.0	21.0	38890.7639
90.0	22.0	39202.9572
90.0	23.0	39445.8479
90.0	24.000000000000004	39609.3401
90.0	25.0	39685.1816
90.0	26.0	39667.2042
90.0	26.999999999999996	39551.4975
90.0	28.0	39336.5071
90.0	29.000000000000004	39023.0575
90.0	29.999999999999996	38614.2962
90.0	31.0	38115.5637
90.0	32.0	37534.1928
90.0	33.0	36879.2465
90.0	34.00000000000001	36161.2044
90.0	35.0	35391.608
90.0	36.0	34582.6807
90.0	37.0	33746.9344
90.0	38.0	32896.7787
90.0	39.0	32044.146
90.0	40.0	31200.1456
90.0	41.0	30374.7597
90.0	42.0	29576.5905
90.0	43.0	28812.6668
90.0	44.0	28088.3151
90.0	45.0	27407.0987
90.0	46.00000000000001	26770.8242
90.0	47.0	26179.613
90.0	48.00000000000001	25632.0336
90.0	49.00000000000001	25125.2854
90.0	50.0	24655.4271
90.0	51.0	24217.6373
90.0	52.0	23806.4959
90.0	53.0	23416.2745
90.0	54.0	23041.2229
90.0	55.0	22675.8407
90.0	56.0	22315.1226
90.0	57.00000000000001	21954.7684
90.0	58.00000000000001	21591.3498
90.0	59.00000000000001	21222.43
90.0	59.99999999999999	20846.6304
90.0	61.0	20463.6467
90.0	62.0	20074.2124
90.0	63.0	19680.017
90.0	64.0	19283.5814
90.0	65.0	18888.1003
90.0	66.0	18497.258
90.0	67.0	18115.0297
90.0	68.0	17745.4758
90.0	69.0	17392.5408
90.0	70.0	17059.8658
90.0	71.0	16750.6234
90.0	72.0	16467.3814
90.0	73.0	16212.0027
90.0	74.0	15985.5836
90.0	75.0	15788.4339
90.0	76.0	15620.0973
90.0	77.0	15479.4109
90.0	78.0	15364.6
90.0	79.0	15273.4016
90.0	80.0	15203.2105
90.0	81.0	15151.2399
90.0	82.0	15114.6875
90.0	83.0	15090.8983
90.0	84.0	15077.5167
90.0	85.0	15072.6181
90.0	86.0	15074.815
90.0	87.0	15083.3303
90.0	88.0	15098.036
90.0	89.0	15119.4529
90.0	90.0	15148.7132
90.0	91.0	15187.4863
90.0	92.0	15237.872
90.0	93.0	15302.2664
90.0	94.0	15383.2073
90.0	95.0	15483.206
90.0	96.00000000000001	15604.5755
90.0	97.0	15749.2628
90.0	98.0	15918.6946
90.0	99.0	16113.6443
90.0	100.0	16334.1288
90.0	101.0	16579.3398
90.0	102.0	16847.6146
90.0	103.0	17136.4501
90.0	104.0	17442.5589
90.0	105.00000000000001	17761.9684
90.0	106.0	18090.1574
90.0	107.0	18422.2274
90.0	108.0	18753.0993
90.0	109.0	19077.7293
90.0	110.0	19391.334
90.0	111.0	19689.6143
90.0	112.0	19968.9687
90.0	113.0	20226.6861
90.0	114.00000000000001	20461.1083
90.0	115.0	20671.7552
90.0	116.00000000000001	20859.4049
90.0	117.0	21026.1249
90.0	118.00000000000001	21175.2514
90.0	119.0	21311.3155
90.0	119.99999999999999	21439.9192
90.0	121.0	21567.5633
90.0	122.0	21701.4354
90.0	123.00000000000001	21849.1628
90.0	124.0	22018.5425
90.0	125.00000000000001	22217.2565
90.0	126.0	22452.5845
90.0	127.00000000000001	22731.1248
90.0	128.0	23058.5348
90.0	129.0	23439.3016
90.0	130.0	23876.5512
90.0	131.0	24371.9051
90.0	132.0	24925.3889
90.0	133.0	25535.3978
90.0	134.0	26198.7195
90.0	135.0	26910.6143
90.0	136.0	27664.9488
90.0	137.0	28454.3782
90.0	138.0	29270.5687
90.0	139.0	30104.4538
90.0	140.0	30946.5105
90.0	141.0	31787.0483
90.0	142.0	32616.4964
90.0	143.0	33425.6804
90.0	144.0	34206.0757
90.0	145.0	34950.0308
90.0	146.0	35650.9488
90.0	147.0	36303.4247
90.0	148.0	36903.3317
90.0	149.0	37447.8549
90.0	150.0	37935.4736
90.0	151.0	38365.8944
90.0	152.0	38739.9387
90.0	153.0	39059.3932
90.0	154.0	39326.8298
90.0	155.0	39545.4049
90.0	156.0	39718.6483
90.0	157.0	39850.2529
90.0	158.0	39943.8735
90.0	159.0	40002.9465
90.0	160.0	40030.538
90.0	161.0	40029.2274
90.0	162.0	40001.0319
90.0	163.0	39947.3756
90.0	164.0	39869.1035
90.0	165.0	39766.5395
90.0	166.0	39639.5852
90.0	167.0	39487.8534
90.0	168.0	39310.8299
90.0	169.0	39108.0541
90.0	170.0	38879.3084
90.0	171.0	38624.8067
90.0	172.0	38345.3706
90.0	173.0	38042.5838
90.0	174.0	37718.9137
90.0	175.0	37377.794
90.0	176.0	37023.6605
90.0	177.0	36661.9361
90.0	178.0	36298.9623
90.0	179.0	35941.8782
90.0	180.0	35598.4495
90.0	181.0	35276.8515
90.0	181.99999999999997	34985.4146
90.0	182.99999999999997	34732.3417
90.0	183.99999999999997	34525.4065
90.0	184.99999999999997	34371.6466
90.0	185.99999999999997	34277.0631
90.0	186.99999999999997	34246.3396
90.0	188.0	34282.5923
90.0	188.99999999999997	34387.1641
90.0	190.0	34559.4708
90.0	190.99999999999997	34796.9093
90.0	192.0	35094.8315
90.0	192.99999999999997	35446.5895
90.0	193.99999999999997	35843.651
90.0	194.99999999999997	36275.7835
90.0	195.99999999999997	36731.3018
90.0	197.0	37197.3719
90.0	197.99999999999997	37660.3615
90.0	199.0	38106.2246
90.0	199.99999999999997	38520.9079
90.0	201.0	38890.7639
90.0	201.99999999999997	39202.9572
90.0	203.0	39445.8479
90.0	203.99999999999997	39609.3401
90.0	204.99999999999997	39685.1816
90.0	206.0	39667.2042
90.0	206.99999999999997	39551.4975
90.0	208.0	39336.5071
90.0	208.99999999999997	39023.0575
90.0	210.0	38614.2962
90.0	210.99999999999997	38115.5637
90.0	212.0	37534.1928
90.0	212.99999999999997	36879.2465
90.0	214.0	36161.2044
90.0	215.0	35391.608
90.0	216.0	34582.6807
90.0	217.0	33746.9344
90.0	217.99999999999997	32896.7787
90.0	219.00000000000003	32044.146
90.0	219.99999999999997	31200.1456
90.0	220.99999999999997	30374.7597
90.0	221.99999999999997	29576.5905
90.0	223.0	28812.6668
90.0	224.0	28088.3151
90.0	224.99999999999997	27407.0987
90.0	226.0	26770.8242
90.0	227.0	26179.613
90.0	228.0	25632.0336
90.0	229.0	25125.2854
90.0	230.0	24655.4271
90.0	230.99999999999997	24217.6373
90.0	232.00000000000003	23806.4959
90.0	233.0	23416.2745
90.0	233.99999999999997	23041.2229
90.0	234.99999999999994	22675.8407
90.0	236.0	22315.1226
90.0	237.0	21954.7684
90.0	238.0	21591.3498
90.0	239.0	21222.43
90.0	239.99999999999994	20846.6304
90.0	241.0	20463.6467
90.0	242.0	20074.2124
90.0	242.99999999999997	19680.017
90.0	243.99999999999994	19283.5814
90.0	245.0	18888.1003
90.0	246.0	18497.258
90.0	247.0	18115.0297
90.0	248.0	17745.4758
90.0	248.99999999999997	17392.5408
90.0	250.0	17059.8658
90.0	251.0	16750.6234
90.0	252.0	16467.3814
90.0	252.99999999999997	16212.0027
90.0	254.0	15985.5836
90.0	255.0	15788.4339
90.0	256.0	15620.0973
90.0	257.0	15479.4109
90.0	258.0	15364.6
90.0	259.0	15273.4016
90.0	260.0	15203.2105
90.0	261.0	15151.2399
90.0	262.0	15114.6875
90.0	263.0	15090.8983
90.0	264.0	15077.5167
90.0	265.0	15072.6181
90.0	266.0	15074.815
90.0	267.0	15083.3303
90.0	268.0	15098.036
90.0	269.0	15119.4529
90.0	270.0	15148.7132
90.0	271.0	15187.4863
90.0	272.0	15237.872
90.0	273.0	15302.2664
90.0	274.0	15383.2073
90.0	275.0	15483.206
90.0	276.0	15604.5755
90.0	277.0	15749.2628
90.0	278.0	15918.6946
90.0	279.0	16113.6443
90.0	280.0	16334.1288
90.0	281.0	16579.3398
90.0	282.0	16847.6146
90.0	283.0	17136.4501
90.0	284.0	17442.5589
90.0	285.0	17761.9684
90.0	286.0	18090.1574
90.0	287.0	18422.2274
90.0	288.0	18753.0993
90.0	289.0	19077.7293
90.0	290.0	19391.334
90.0	291.0	19689.6143
90.0	292.0	19968.9687
90.0	293.0	20226.6861
90.0	294.0	20461.1083
