Polar Angle 	 Azimuth Angle 	 Intensity 
90.0	0.0	336.7512
90.0	1.0	335.3468
90.0	2.0	334.0789
90.0	3.0000000000000004	332.8703
90.0	4.0	331.6529
90.0	5.0	330.3746
90.0	6.000000000000001	329.0052
90.0	7.0	327.5417
90.0	8.0	326.0125
90.0	9.0	324.4796
90.0	10.0	323.0404
90.0	11.0	321.8258
90.0	12.0	320.9986
90.0	13.0	320.7486
90.0	14.0	321.2862
90.0	14.999999999999998	322.8354
90.0	16.0	325.6245
90.0	17.000000000000004	329.8764
90.0	18.0	335.7986
90.0	19.0	343.5728
90.0	20.0	353.3447
90.0	21.0	365.2156
90.0	22.0	379.2336
90.0	23.0	395.3883
90.0	24.000000000000004	413.6055
90.0	25.0	433.7459
90.0	26.0	455.6046
90.0	26.999999999999996	478.9142
90.0	28.0	503.3494
90.0	29.000000000000004	528.5348
90.0	29.999999999999996	554.0536
90.0	31.0	579.4594
90.0	32.0	604.288
90.0	33.0	628.0714
90.0	34.00000000000001	650.3514
90.0	35.0	670.6936
90.0	36.0	688.7005
90.0	37.0	704.0241
90.0	38.0	716.3761
90.0	39.0	725.5374
90.0	40.0	731.3641
90.0	41.0	733.7915
90.0	42.0	732.8361
90.0	43.0	728.5937
90.0	44.0	721.2357
90.0	45.0	711.0026
90.0	46.00000000000001	698.1951
90.0	47.0	683.1639
90.0	48.00000000000001	666.2971
90.0	49.00000000000001	648.0074
90.0	50.0	628.7182
90.0	51.0	608.85
90.0	52.0	588.8069
90.0	53.0	568.965
90.0	54.0	549.6607
90.0	55.0	531.1824
90.0	56.0	513.7633
90.0	57.00000000000001	497.5768
90.0	58.00000000000001	482.7344
90.0	59.00000000000001	469.2859
90.0	59.99999999999999	457.2223
90.0	61.0	446.4802
90.0	62.0	436.9493
90.0	63.0	428.4799
90.0	64.0	420.8935
90.0	65.0	413.9921
90.0	66.0	407.5698
90.0	67.0	401.4226
90.0	68.0	395.3587
90.0	69.0	389.2071
90.0	70.0	382.8253
90.0	71.0	376.1054
90.0	72.0	368.9776
90.0	73.0	361.4125
90.0	74.0	353.4213
90.0	75.0	345.0536
90.0	76.0	336.394
90.0	77.0	327.5565
90.0	78.0	318.6783
90.0	79.0	309.9119
90.0	80.0	301.4176
90.0	81.0	293.355
90.0	82.0	285.875
90.0	83.0	279.1128
90.0	84.0	273.1817
90.0	85.0	268.1677
90.0	86.0	264.1266
90.0	87.0	261.0819
90.0	88.0	259.0247
90.0	89.0	257.9157
90.0	90.0	257.6883
90.0	91.0	258.2536
90.0	92.0	259.5066
90.0	93.0	261.3326
90.0	94.0	263.6152
90.0	95.0	266.244
90.0	96.00000000000001	269.1217
90.0	97.0	272.1711
90.0	98.0	275.3413
90.0	99.0	278.6117
90.0	100.0	281.9956
90.0	101.0	285.541
90.0	102.0	289.3303
90.0	103.0	293.4778
90.0	104.0	298.1253
90.0	105.00000000000001	303.4364
90.0	106.0	309.5885
90.0	107.0	316.7647
90.0	108.0	325.1445
90.0	109.0	334.8936
90.0	110.0	346.1544
90.0	111.0	359.0366
90.0	112.0	373.6093
90.0	113.0	389.8931
90.0	114.00000000000001	407.8556
90.0	115.0	427.4071
90.0	116.00000000000001	448.3997
90.0	117.0	470.628
90.0	118.00000000000001	493.8323
90.0	119.0	517.7039
90.0	119.99999999999999	541.8928
90.0	121.0	566.0167
90.0	122.0	589.6718
90.0	123.00000000000001	612.4448
90.0	124.0	633.9252
90.0	125.00000000000001	653.7181
90.0	126.0	671.4568
90.0	127.00000000000001	686.8142
90.0	128.0	699.5134
90.0	129.0	709.3365
90.0	130.0	716.1315
90.0	131.0	719.8172
90.0	132.0	720.3849
90.0	133.0	717.8988
90.0	134.0	712.4934
90.0	135.0	704.3677
90.0	136.0	693.7792
90.0	137.0	681.034
90.0	138.0	666.4765
90.0	139.0	650.4782
90.0	140.0	633.4251
90.0	141.0	615.7051
90.0	142.0	597.6963
90.0	143.0	579.7554
90.0	144.0	562.2075
90.0	145.0	545.3375
90.0	146.0	529.3831
90.0	147.0	514.5299
90.0	148.0	500.9091
90.0	149.0	488.5964
90.0	150.0	477.6143
90.0	151.0	467.935
90.0	152.0	459.4864
90.0	153.0	452.1587
90.0	154.0	445.8123
90.0	155.0	440.2869
90.0	156.0	435.4102
90.0	157.0	431.0068
90.0	158.0	426.9075
90.0	159.0	422.9562
90.0	160.0	419.0167
90.0	161.0	414.9783
90.0	162.0	410.7589
90.0	163.0	406.3072
90.0	164.0	401.6029
90.0	165.0	396.6553
90.0	166.0	391.5005
90.0	167.0	386.197
90.0	168.0	380.8208
90.0	169.0	375.4591
90.0	170.0	370.2042
90.0	171.0	365.1472
90.0	172.0	360.3719
90.0	173.0	355.9495
90.0	174.0	351.934
90.0	175.0	348.3593
90.0	176.0	345.237
90.0	177.0	342.5564
90.0	178.0	340.2851
90.0	179.0	338.372
90.0	180.0	336.7512
90.0	181.0	335.3468
90.0	181.99999999999997	334.0789
90.0	182.99999999999997	332.8703
90.0	183.99999999999997	331.6529
90.0	184.99999999999997	330.3746
90.0	185.99999999999997	329.0052
90.0	186.99999999999997	327.5417
90.0	188.0	326.0125
90.0	188.99999999999997	324.4796
90.0	190.0	323.0404
90.0	190.99999999999997	321.8258
90.0	192.0	320.9986
90.0	192.99999999999997	320.7486
90.0	193.99999999999997	321.2862
90.0	194.99999999999997	322.8354
90.0	195.99999999999997	325.6245
90.0	197.0	329.8764
90.0	197.99999999999997	335.7986
90.0	199.0	343.5728
90.0	199.99999999999997	353.3447
90.0	201.0	365.2156
90.0	201.99999999999997	379.2336
90.0	203.0	395.3883
90.0	203.99999999999997	413.6055
90.0	204.99999999999997	433.7459
90.0	206.0	455.6046
90.0	206.99999999999997	478.9142
90.0	208.0	503.3494
90.0	208.99999999999997	528.5348
90.0	210.0	554.0536
90.0	210.99999999999997	579.4594
90.0	212.0	604.288
90.0	212.99999999999997	628.0714
90.0	214.0	650.3514
90.0	215.0	670.6936
90.0	216.0	688.7005
90.0	217.0	704.0241
90.0	217.99999999999997	716.3761
90.0	219.00000000000003	725.5374
90.0	219.99999999999997	731.3641
90.0	220.99999999999997	733.7915
90.0	221.99999999999997	732.8361
90.0	223.0	728.5937
90.0	224.0	721.2357
90.0	224.99999999999997	711.0026
90.0	226.0	698.1951
90.0	227.0	683.1639
90.0	228.0	666.2971
90.0	229.0	648.0074
90.0	230.0	628.7182
90.0	230.99999999999997	608.85
90.0	232.00000000000003	588.8069
90.0	233.0	568.965
90.0	233.99999999999997	549.6607
90.0	234.99999999999994	531.1824
90.0	236.0	513.7633
90.0	237.0	497.5768
90.0	238.0	482.7344
90.0	239.0	469.2859
90.0	239.99999999999994	457.2223
90.0	241.0	446.4802
90.0	242.0	436.9493
90.0	242.99999999999997	428.4799
90.0	243.99999999999994	420.8935
90.0	245.0	413.9921
90.0	246.0	407.5698
90.0	247.0	401.4226
90.0	248.0	395.3587
90.0	248.99999999999997	389.2071
90.0	250.0	382.8253
90.0	251.0	376.1054
90.0	252.0	368.9776
90.0	252.99999999999997	361.4125
90.0	254.0	353.4213
90.0	255.0	345.0536
90.0	256.0	336.394
90.0	257.0	327.5565
90.0	258.0	318.6783
90.0	259.0	309.9119
90.0	260.0	301.4176
90.0	261.0	293.355
90.0	262.0	285.875
90.0	263.0	279.1128
90.0	264.0	273.1817
90.0	265.0	268.1677
90.0	266.0	264.1266
90.0	267.0	261.0819
90.0	268.0	259.0247
90.0	269.0	257.9157
90.0	270.0	257.6883
90.0	271.0	258.2536
90.0	272.0	259.5066
90.0	273.0	261.3326
90.0	274.0	263.6152
90.0	275.0	266.244
90.0	276.0	269.1217
90.0	277.0	272.1711
90.0	278.0	275.3413
90.0	279.0	278.6117
90.0	280.0	281.9956
90.0	281.0	285.541
90.0	282.0	289.3303
90.0	283.0	293.4778
90.0	284.0	298.1253
90.0	285.0	303.4364
90.0	286.0	309.5885
90.0	287.0	316.7647
90.0	288.0	325.1445
90.0	289.0	334.8936
90.0	290.0	346.1544
90.0	291.0	359.0366
90.0	292.0	373.6093
90.0	293.0	389.8931
90.0	294.0	407.8556
90.0	295.0	427.4071
90.0	296.0	448.3997
90.0	297.0	470.628
90.0	298.0	493.8323
90.0	299.0	517.7039
90.0	300.0	541.8928
90.0	301.0	566.0167
90.0	302.0	589.6718
90.0	303.0	612.4448
90.0	304.0	633.9252
90.0	305.0	653.7181
90.0	306.0	671.4568
90.0	307.0	686.8142
90.0	308.0	699.5134
90.0	309.0	709.3365
90.0	310.0	716.1315
90.0	311.0	719.8172
90.0	311.99999999999994	720.3849
90.0	313.0	717.8988
90.0	314.0	712.4934
90.0	315.0	704.3677
90.0	316.0	693.7792
90.0	317.0	681.034
90.0	318.0	666.4765
90.0	319.0	650.4782
90.0	320.0	633.4251
90.0	321.0	615.7051
90.0	322.0	597.6963
90.0	323.0	579.7554
90.0	324.0	562.2075
90.0	325.0	545.3375
90.0	326.0	529.3831
90.0	327.0	514.5299
90.0	328.0	500.9091
90.0	329.0	488.5964
90.0	330.0	477.6143
90.0	331.0	467.935
90.0	332.0	459.4864
90.0	333.0	452.1587
90.0	334.0	445.8123
90.0	335.0	440.2869
90.0	336.0	435.4102
90.0	337.0	431.0068
90.0	338.0	426.9075
90.0	338.99999999999994	422.9562
90.0	340.0	419.0167
90.0	341.0	414.9783
90.0	342.0	410.7589
90.0	343.0	406.3072
90.0	344.0	401.6029
90.0	345.0	396.6553
90.0	346.0	391.5005
90.0	347.0	386.197
90.0	347.99999999999994	380.8208
90.0	349.0	375.4591
90.0	350.0	370.2042
90.0	351.0	365.1472
90.0	352.0	360.3719
90.0	353.0	355.9495
90.0	354.0	351.934
90.0	355.0	348.3593
90.0	356.0	345.237
90.0	356.99999999999994	342.5564
90.0	358.0	340.2851
90.0	359.0	338.372
